Time,True_theta,True_theta_dot,Meas_theta,Meas_theta_dot,Est_theta,Est_theta_dot
0,0.1,0,0.311917,-0.246072,0.1,0
0.01,0.100001,0.000189375,0.71199,0.230698,0.17525,-0.0869959
0.02,0.100004,0.000377383,-0.799326,-0.40964,0.298966,-0.0265865
0.03,0.100008,0.000563847,-0.12038,-0.0549565,0.0936713,-0.0807344
0.04,0.100015,0.000748596,0.135717,0.176316,0.0572458,-0.0699139
0.05,0.100023,0.000931458,0.0286855,-0.414613,0.0592294,-0.0294951
0.06,0.100034,0.00111227,-0.137802,0.0110502,0.0690052,-0.0786145
0.07,0.100046,0.00129086,0.0475091,-0.190024,0.0439025,-0.0513225
0.08,0.100059,0.00146708,0.163772,0.100784,0.0490765,-0.0593057
0.09,0.100075,0.00164076,0.0845781,-0.341809,0.0527548,-0.036956
0.1,0.100092,0.00181175,-0.13475,0.509104,0.0658291,-0.0614154
0.11,0.100111,0.0019799,0.955529,-0.0448637,0.0320795,0.00327585
0.12,0.100132,0.00214507,0.448597,-0.904232,0.0905539,-0.0242225
0.13,0.100154,0.00230711,-0.392272,0.502929,0.139975,-0.110856
0.14,0.100178,0.00246588,-0.0726579,0.507919,0.091203,-0.0499345
0.15,0.100203,0.00262124,-0.418014,0.169485,0.0651514,0.00269576
0.16,0.10023,0.00277308,-0.516003,0.255946,0.0391593,0.0320518
0.17,0.100259,0.00292125,-0.0576597,-0.31212,0.0106406,0.0684268
0.18,0.100289,0.00306564,0.0214515,-0.203308,0.020518,0.0518293
0.19,0.10032,0.00320614,0.637376,0.0330162,0.0286762,0.0394498
0.2,0.100353,0.00334262,-0.305353,0.315676,0.0487202,0.0312927
0.21,0.100387,0.00347497,0.631957,-0.0732798,0.031017,0.0632378
0.22,0.100422,0.00360311,0.218257,0.354904,0.051696,0.0426741
0.23,0.100459,0.00372692,0.834681,1.19153,0.0486066,0.0672797
0.24,0.100497,0.00384631,-0.574776,0.20993,0.0402339,0.12808
0.25,0.100536,0.0039612,0.423202,0.0423873,0.0260597,0.14857
0.26,0.100576,0.0040715,0.0811059,-0.373117,0.038288,0.139426
0.27,0.100617,0.00417712,-0.0225009,-0.225389,0.05206,0.115333
